Wavelength (nm,Intensity AC 1
194.9648667,1120.0
195.23630391108566,987.0
195.50773147432525,1041.0
195.77914938969263,1010.0
196.0505576571618,1039.0
196.32195627670666,1123.0
196.59334524830112,1155.0
196.86472457191908,1134.0
197.13609424753452,1148.0
197.4074542751213,1150.0
197.67880465465336,1137.0
197.9501453861046,1151.0
198.221476469449,1154.0
198.49279790466042,1118.0
198.7641096917128,1127.0
199.03541183058002,1130.0
199.3067043212361,1179.0
199.5779871636549,1159.0
199.84926035781032,1167.0
200.12052390367631,1151.0
200.3917778012268,1169.0
200.66302205043567,1189.0
200.93425665127685,1201.0
201.20548160372428,1179.0
201.4766969077519,1176.0
201.74790256333358,1168.0
202.01909857044328,1157.0
202.29028492905485,1159.0
202.56146163914232,1187.0
202.83262870067955,1162.0
203.10378611364044,1175.0
203.37493387799896,1182.0
203.64607199372895,1178.0
203.91720046080442,1171.0
204.18831927919925,1184.0
204.45942844888737,1193.0
204.73052796984268,1179.0
205.0016178420391,1145.0
205.2726980654506,1182.0
205.54376864005107,1180.0
205.81482956581436,1178.0
206.08588084271452,1172.0
206.3569224707254,1187.0
206.6279544498209,1187.0
206.89897677997493,1187.0
207.1699894611615,1162.0
207.44099249335446,1182.0
207.71198587652776,1196.0
207.9829696106553,1183.0
208.25394369571094,1157.0
208.52490813166872,1181.0
208.79586291850254,1182.0
209.0668080561862,1185.0
209.33774354469375,1181.0
209.60866938399909,1179.0
209.87958557407612,1180.0
210.15049211489873,1183.0
210.42138900644082,1176.0
210.69227624867642,1178.0
210.96315384157936,1172.0
211.2340217851236,1191.0
211.504880079283,1144.0
211.77572872403158,1181.0
212.0465677193432,1175.0
212.31739706519178,1200.0
212.58821676155122,1168.0
212.8590268083955,1198.0
213.1298272056985,1168.0
213.40061795343414,1193.0
213.67139905157634,1148.0
213.94217050009902,1198.0
214.21293229897614,1174.0
214.48368444818158,1183.0
214.75442694768924,1165.0
215.0251597974731,1177.0
215.29588299750702,1176.0
215.56659654776496,1181.0
215.83730044822082,1141.0
216.10799469884853,1174.0
216.378679299622,1192.0
216.64935425051522,1199.0
216.92001955150198,1158.0
217.19067520255626,1166.0
217.46132120365203,1166.0
217.73195755476314,1179.0
218.00258425586358,1149.0
218.27320130692718,1178.0
218.54380870792792,1173.0
218.81440645883973,1204.0
219.0849945596365,1145.0
219.35557301029212,1205.0
219.6261418107806,1180.0
219.8967009610758,1198.0
220.16725046115164,1139.0
220.43779031098202,1185.0
220.70832051054094,1196.0
220.97884105980225,1173.0
221.2493519587399,1163.0
221.5198532073278,1184.0
221.79034480553983,1199.0
222.06082675335,1208.0
222.33129905073216,1160.0
222.60176169766024,1172.0
222.87221469410818,1174.0
223.14265804004987,1173.0
223.41309173545932,1164.0
223.6835157803103,1183.0
223.95393017457684,1190.0
224.22433491823284,1170.0
224.4947300112522,1154.0
224.76511545360884,1177.0
225.0354912452767,1182.0
225.3058573862297,1212.0
225.57621387644173,1145.0
225.84656071588677,1173.0
226.11689790453866,1182.0
226.3872254423714,1218.0
226.65754332935884,1146.0
226.92785156547495,1133.0
227.1981501506936,1142.0
227.46843908498877,1185.0
227.7387183683344,1184.0
228.0089880007043,1192.0
228.27924798207246,1169.0
228.54949831241277,1201.0
228.8197389916992,1172.0
229.08997001990565,1189.0
229.36019139700602,1182.0
229.63040312297423,1191.0
229.90060519778424,1174.0
230.17079762140995,1190.0
230.44098039382527,1185.0
230.71115351500407,1189.0
230.98131698492037,1161.0
231.25147080354805,1180.0
231.52161497086098,1160.0
231.79174948683314,1195.0
232.06187435143846,1160.0
232.33198956465083,1208.0
232.60209512644417,1205.0
232.87219103679237,1197.0
233.1422772956694,1164.0
233.41235390304922,1176.0
233.68242085890563,1169.0
233.95247816321262,1207.0
234.22252581594412,1182.0
234.49256381707403,1192.0
234.7625921665763,1165.0
235.0326108644248,1154.0
235.30261991059345,1152.0
235.57261930505626,1183.0
235.84260904778702,1178.0
236.11258913875972,1188.0
236.3825595779483,1190.0
236.65252036532667,1196.0
236.92247150086874,1157.0
237.19241298454838,1177.0
237.46234481633957,1159.0
237.73226699621623,1193.0
238.00217952415227,1173.0
238.27208240012158,1200.0
238.54197562409814,1167.0
238.8118591960558,1168.0
239.08173311596855,1169.0
239.3515973838103,1214.0
239.62145199955484,1188.0
239.89129696317627,1207.0
240.16113227464845,1173.0
240.43095793394528,1176.0
240.70077394104064,1169.0
240.97058029590852,1181.0
241.24037699852283,1174.0
241.51016404885752,1170.0
241.77994144688643,1148.0
242.04970919258346,1159.0
242.31946728592266,1159.0
242.58921572687785,1194.0
242.85895451542294,1169.0
243.12868365153196,1180.0
243.39840313517874,1156.0
243.66811296633722,1169.0
243.9378131449813,1156.0
244.2075036710849,1189.0
244.47718454462196,1196.0
244.74685576556644,1229.0
245.01651733389218,1148.0
245.28616924957313,1192.0
245.55581151258326,1179.0
245.82544412289644,1199.0
246.09506708048661,1175.0
246.36468038532763,1193.0
246.6342840373935,1175.0
246.9038780366581,1201.0
247.1734623830954,1172.0
247.44303707667922,1167.0
247.71260211738357,1164.0
247.98215750518236,1207.0
248.25170324004947,1193.0
248.5212393219588,1166.0
248.79076575088433,1176.0
249.06028252679997,1174.0
249.32978964967967,1176.0
249.59928711949726,1213.0
249.86877493622674,1178.0
250.13825309984196,1176.0
250.4077216103169,1149.0
250.67718046762548,1189.0
250.94662967174156,1202.0
251.21606922263916,1220.0
251.4854991202921,1162.0
251.75491936467432,1191.0
252.0243299557598,1164.0
252.29373089352242,1226.0
252.5631221779361,1175.0
252.83250380897474,1175.0
253.1018757866123,1161.0
253.37123811082267,1185.0
253.6405907815798,1141.0
253.9099337988576,1171.0
254.1792671626299,1163.0
254.4485908728708,1165.0
254.7179049295541,1146.0
254.98720933265372,1168.0
255.25650408214364,1183.0
255.52578917799767,1161.0
255.79506462018986,1167.0
256.06433040869405,1149.0
256.33358654348416,1166.0
256.60283302453416,1194.0
256.87206985181797,1169.0
257.1412970253095,1172.0
257.41051454498256,1165.0
257.6797224108112,1180.0
257.9489206227693,1149.0
258.2181091808308,1163.0
258.48728808496963,1173.0
258.7564573351596,1189.0
259.0256169313748,1154.0
259.2947668735891,1181.0
259.5639071617763,1174.0
259.83303779591046,1197.0
260.10215877596534,1153.0
260.37127010191506,1159.0
260.64037177373336,1157.0
260.90946379139433,1182.0
261.17854615487175,1167.0
261.4476188641396,1181.0
261.7166819191719,1169.0
261.98573531994236,1195.0
262.254779066425,1156.0
262.5238131585938,1147.0
262.7928375964225,1165.0
263.0618523798853,1191.0
263.33085750895583,1174.0
263.59985298360823,1189.0
263.86883880381635,1176.0
264.1378149695541,1178.0
264.40678148079536,1165.0
264.675738337514,1209.0
264.94468553968426,1188.0
265.2136230872796,1209.0
265.48255098027425,1167.0
265.75146921864206,1174.0
266.0203778023569,1131.0
266.28927673139276,1156.0
266.55816600572354,1131.0
266.8270456253231,1170.0
267.09591559016536,1168.0
267.3647759002244,1188.0
267.63362655547394,1169.0
267.90246755588805,1201.0
268.17129890144054,1202.0
268.4401205921055,1178.0
268.7089326278566,1144.0
268.9777350086678,1169.0
269.24652773451334,1148.0
269.5153108053667,1139.0
269.7840842212021,1132.0
270.0528479819934,1155.0
270.32160208771444,1172.0
270.5903465383392,1173.0
270.8590813338416,1166.0
271.12780647419555,1197.0
271.39652195937487,1170.0
271.6652277893537,1184.0
271.9339239641058,1136.0
272.2026104836051,1150.0
272.4712873478256,1139.0
272.73995455674117,1166.0
273.0086121103257,1169.0
273.2772600085531,1179.0
273.54589825139743,1165.0
273.8145268388324,1149.0
274.0831457708321,1137.0
274.3517550473704,1176.0
274.62035466842116,1171.0
274.88894463395843,1166.0
275.157524943956,1173.0
275.4260955983878,1193.0
275.69465659722783,1179.0
275.96320794045,1162.0
276.2317496280281,1149.0
276.50028165993626,1154.0
276.76880403614825,1151.0
277.03731675663806,1175.0
277.30581982137954,1148.0
277.57431323034666,1169.0
277.8427969835133,1188.0
278.11127108085344,1202.0
278.37973552234104,1121.0
278.64819030794985,1174.0
278.9166354376539,1165.0
279.18507091142715,1182.0
279.45349672924345,1161.0
279.7219128910767,1172.0
279.99031939690093,1163.0
280.25871624668997,1167.0
280.5271034404177,1167.0
280.79548097805815,1171.0
281.0638488595852,1171.0
281.33220708497277,1172.0
281.6005556541948,1169.0
281.86889456722514,1162.0
282.13722382403773,1171.0
282.4055434246065,1168.0
282.6738533689055,1146.0
282.9421536569084,1157.0
283.21044428858926,1147.0
283.47872526392206,1158.0
283.7469965828806,1145.0
284.015258245439,1179.0
284.2835102515709,1158.0
284.5517526012503,1176.0
284.81998529445127,1169.0
285.0882083311476,1185.0
285.35642171131326,1184.0
285.6246254349221,1165.0
285.89281950194817,1137.0
286.1610039123653,1148.0
286.42917866614744,1140.0
286.6973437632684,1169.0
286.9654992037023,1147.0
287.23364498742285,1173.0
287.5017811144041,1194.0
287.76990758462,1198.0
288.0380243980444,1163.0
288.3061315546512,1175.0
288.57422905441445,1164.0
288.84231689730785,1157.0
289.11039508330543,1149.0
289.37846361238127,1184.0
289.64652248450903,1180.0
289.91457169966276,1198.0
290.1826112578164,1135.0
290.4506411589439,1141.0
290.718661403019,1150.0
