Wavelength (nm,Intensity AC 1
194.9648667,1134.0
195.23630391108566,1037.0
195.50773147432525,1019.0
195.77914938969263,1011.0
196.0505576571618,1035.0
196.32195627670666,1129.0
196.59334524830112,1131.0
196.86472457191908,1132.0
197.13609424753452,1153.0
197.4074542751213,1137.0
197.67880465465336,1153.0
197.9501453861046,1171.0
198.221476469449,1151.0
198.49279790466042,1116.0
198.7641096917128,1146.0
199.03541183058002,1143.0
199.3067043212361,1182.0
199.5779871636549,1158.0
199.84926035781032,1163.0
200.12052390367631,1153.0
200.3917778012268,1155.0
200.66302205043567,1165.0
200.93425665127685,1183.0
201.20548160372428,1180.0
201.4766969077519,1154.0
201.74790256333358,1144.0
202.01909857044328,1160.0
202.29028492905485,1160.0
202.56146163914232,1189.0
202.83262870067955,1154.0
203.10378611364044,1179.0
203.37493387799896,1200.0
203.64607199372895,1185.0
203.91720046080442,1165.0
204.18831927919925,1169.0
204.45942844888737,1177.0
204.73052796984268,1181.0
205.0016178420391,1142.0
205.2726980654506,1175.0
205.54376864005107,1173.0
205.81482956581436,1176.0
206.08588084271452,1164.0
206.3569224707254,1170.0
206.6279544498209,1179.0
206.89897677997493,1201.0
207.1699894611615,1160.0
207.44099249335446,1178.0
207.71198587652776,1182.0
207.9829696106553,1184.0
208.25394369571094,1166.0
208.52490813166872,1188.0
208.79586291850254,1176.0
209.0668080561862,1181.0
209.33774354469375,1176.0
209.60866938399909,1176.0
209.87958557407612,1178.0
210.15049211489873,1177.0
210.42138900644082,1162.0
210.69227624867642,1176.0
210.96315384157936,1164.0
211.2340217851236,1176.0
211.504880079283,1160.0
211.77572872403158,1175.0
212.0465677193432,1191.0
212.31739706519178,1198.0
212.58821676155122,1155.0
212.8590268083955,1177.0
213.1298272056985,1167.0
213.40061795343414,1183.0
213.67139905157634,1169.0
213.94217050009902,1197.0
214.21293229897614,1155.0
214.48368444818158,1186.0
214.75442694768924,1174.0
215.0251597974731,1178.0
215.29588299750702,1182.0
215.56659654776496,1186.0
215.83730044822082,1148.0
216.10799469884853,1182.0
216.378679299622,1177.0
216.64935425051522,1201.0
216.92001955150198,1162.0
217.19067520255626,1169.0
217.46132120365203,1172.0
217.73195755476314,1183.0
218.00258425586358,1137.0
218.27320130692718,1169.0
218.54380870792792,1174.0
218.81440645883973,1202.0
219.0849945596365,1144.0
219.35557301029212,1204.0
219.6261418107806,1161.0
219.8967009610758,1181.0
220.16725046115164,1142.0
220.43779031098202,1181.0
220.70832051054094,1185.0
220.97884105980225,1145.0
221.2493519587399,1143.0
221.5198532073278,1173.0
221.79034480553983,1196.0
222.06082675335,1203.0
222.33129905073216,1161.0
222.60176169766024,1164.0
222.87221469410818,1164.0
223.14265804004987,1181.0
223.41309173545932,1166.0
223.6835157803103,1175.0
223.95393017457684,1189.0
224.22433491823284,1182.0
224.4947300112522,1146.0
224.76511545360884,1167.0
225.0354912452767,1180.0
225.3058573862297,1200.0
225.57621387644173,1158.0
225.84656071588677,1198.0
226.11689790453866,1187.0
226.3872254423714,1212.0
226.65754332935884,1139.0
226.92785156547495,1139.0
227.1981501506936,1148.0
227.46843908498877,1179.0
227.7387183683344,1175.0
228.0089880007043,1180.0
228.27924798207246,1164.0
228.54949831241277,1182.0
228.8197389916992,1169.0
229.08997001990565,1189.0
229.36019139700602,1184.0
229.63040312297423,1184.0
