Wavelength (nm,Intensity AC 1
194.9648667,1123.0
195.23630391108566,1002.0
195.50773147432525,1027.0
195.77914938969263,991.0
196.0505576571618,1016.0
196.32195627670666,1107.0
196.59334524830112,1143.0
196.86472457191908,1130.0
197.13609424753452,1145.0
197.4074542751213,1149.0
197.67880465465336,1127.0
197.9501453861046,1146.0
198.221476469449,1155.0
198.49279790466042,1107.0
198.7641096917128,1135.0
199.03541183058002,1144.0
199.3067043212361,1184.0
199.5779871636549,1152.0
199.84926035781032,1161.0
200.12052390367631,1161.0
200.3917778012268,1179.0
200.66302205043567,1166.0
200.93425665127685,1193.0
201.20548160372428,1181.0
201.4766969077519,1156.0
201.74790256333358,1158.0
202.01909857044328,1161.0
202.29028492905485,1157.0
202.56146163914232,1177.0
202.83262870067955,1165.0
203.10378611364044,1170.0
203.37493387799896,1186.0
203.64607199372895,1189.0
203.91720046080442,1174.0
204.18831927919925,1157.0
204.45942844888737,1168.0
204.73052796984268,1176.0
205.0016178420391,1147.0
205.2726980654506,1185.0
205.54376864005107,1168.0
205.81482956581436,1186.0
206.08588084271452,1175.0
206.3569224707254,1180.0
206.6279544498209,1194.0
206.89897677997493,1210.0
207.1699894611615,1178.0
207.44099249335446,1186.0
207.71198587652776,1197.0
207.9829696106553,1184.0
208.25394369571094,1154.0
208.52490813166872,1167.0
208.79586291850254,1174.0
209.0668080561862,1180.0
209.33774354469375,1174.0
209.60866938399909,1158.0
209.87958557407612,1178.0
210.15049211489873,1175.0
210.42138900644082,1157.0
210.69227624867642,1180.0
210.96315384157936,1149.0
211.2340217851236,1166.0
211.504880079283,1152.0
211.77572872403158,1195.0
212.0465677193432,1195.0
212.31739706519178,1211.0
212.58821676155122,1163.0
212.8590268083955,1193.0
213.1298272056985,1164.0
213.40061795343414,1196.0
213.67139905157634,1144.0
213.94217050009902,1187.0
214.21293229897614,1160.0
214.48368444818158,1198.0
214.75442694768924,1171.0
215.0251597974731,1174.0
215.29588299750702,1171.0
215.56659654776496,1171.0
215.83730044822082,1136.0
216.10799469884853,1181.0
216.378679299622,1196.0
216.64935425051522,1220.0
216.92001955150198,1172.0
217.19067520255626,1176.0
217.46132120365203,1164.0
217.73195755476314,1182.0
218.00258425586358,1154.0
218.27320130692718,1170.0
218.54380870792792,1178.0
218.81440645883973,1219.0
219.0849945596365,1151.0
219.35557301029212,1203.0
219.6261418107806,1172.0
219.8967009610758,1175.0
220.16725046115164,1147.0
220.43779031098202,1169.0
220.70832051054094,1186.0
220.97884105980225,1158.0
221.2493519587399,1146.0
221.5198532073278,1177.0
221.79034480553983,1175.0
222.06082675335,1206.0
222.33129905073216,1165.0
222.60176169766024,1175.0
222.87221469410818,1166.0
223.14265804004987,1172.0
223.41309173545932,1177.0
223.6835157803103,1171.0
223.95393017457684,1175.0
224.22433491823284,1186.0
224.4947300112522,1166.0
224.76511545360884,1175.0
225.0354912452767,1189.0
225.3058573862297,1210.0
225.57621387644173,1166.0
225.84656071588677,1189.0
226.11689790453866,1188.0
226.3872254423714,1211.0
226.65754332935884,1152.0
226.92785156547495,1155.0
227.1981501506936,1151.0
227.46843908498877,1181.0
227.7387183683344,1191.0
228.0089880007043,1174.0
228.27924798207246,1167.0
228.54949831241277,1172.0
228.8197389916992,1164.0
229.08997001990565,1196.0
229.36019139700602,1185.0
229.63040312297423,1182.0
229.90060519778424,1177.0
230.17079762140995,1202.0
230.44098039382527,1191.0
230.71115351500407,1196.0
230.98131698492037,1158.0
231.25147080354805,1166.0
231.52161497086098,1150.0
231.79174948683314,1198.0
232.06187435143846,1161.0
232.33198956465083,1216.0
232.60209512644417,1215.0
232.87219103679237,1170.0
233.1422772956694,1146.0
233.41235390304922,1188.0
233.68242085890563,1166.0
233.95247816321262,1180.0
234.22252581594412,1181.0
234.49256381707403,1212.0
234.7625921665763,1166.0
235.0326108644248,1170.0
235.30261991059345,1151.0
235.57261930505626,1185.0
235.84260904778702,1175.0
236.11258913875972,1181.0
236.3825595779483,1179.0
236.65252036532667,1196.0
236.92247150086874,1160.0
237.19241298454838,1204.0
237.46234481633957,1169.0
237.73226699621623,1191.0
238.00217952415227,1170.0
238.27208240012158,1207.0
238.54197562409814,1147.0
238.8118591960558,1165.0
239.08173311596855,1168.0
239.3515973838103,1207.0
239.62145199955484,1169.0
239.89129696317627,1200.0
240.16113227464845,1171.0
240.43095793394528,1165.0
240.70077394104064,1148.0
240.97058029590852,1166.0
241.24037699852283,1170.0
241.51016404885752,1177.0
241.77994144688643,1138.0
242.04970919258346,1153.0
242.31946728592266,1163.0
242.58921572687785,1182.0
242.85895451542294,1153.0
243.12868365153196,1175.0
243.39840313517874,1169.0
243.66811296633722,1176.0
243.9378131449813,1157.0
244.2075036710849,1163.0
244.47718454462196,1181.0
244.74685576556644,1207.0
245.01651733389218,1165.0
245.28616924957313,1189.0
245.55581151258326,1181.0
245.82544412289644,1192.0
246.09506708048661,1167.0
246.36468038532763,1202.0
246.6342840373935,1179.0
246.9038780366581,1206.0
247.1734623830954,1162.0
247.44303707667922,1170.0
247.71260211738357,1164.0
247.98215750518236,1199.0
248.25170324004947,1191.0
248.5212393219588,1153.0
248.79076575088433,1173.0
249.06028252679997,1180.0
249.32978964967967,1169.0
249.59928711949726,1215.0
249.86877493622674,1177.0
250.13825309984196,1163.0
250.4077216103169,1137.0
250.67718046762548,1168.0
250.94662967174156,1194.0
251.21606922263916,1210.0
251.4854991202921,1155.0
251.75491936467432,1195.0
252.0243299557598,1182.0
252.29373089352242,1213.0
252.5631221779361,1184.0
252.83250380897474,1172.0
253.1018757866123,1170.0
253.37123811082267,1186.0
253.6405907815798,1140.0
253.9099337988576,1171.0
254.1792671626299,1153.0
254.4485908728708,1177.0
254.7179049295541,1146.0
254.98720933265372,1155.0
255.25650408214364,1186.0
255.52578917799767,1166.0
255.79506462018986,1166.0
256.06433040869405,1156.0
256.33358654348416,1177.0
256.60283302453416,1190.0
256.87206985181797,1184.0
257.1412970253095,1191.0
257.41051454498256,1167.0
257.6797224108112,1161.0
257.9489206227693,1146.0
258.2181091808308,1176.0
258.48728808496963,1182.0
258.7564573351596,1203.0
259.0256169313748,1154.0
259.2947668735891,1180.0
259.5639071617763,1156.0
259.83303779591046,1187.0
260.10215877596534,1161.0
260.37127010191506,1176.0
260.64037177373336,1157.0
260.90946379139433,1186.0
261.17854615487175,1155.0
261.4476188641396,1174.0
261.7166819191719,1158.0
261.98573531994236,1193.0
262.254779066425,1147.0
262.5238131585938,1147.0
262.7928375964225,1163.0
263.0618523798853,1180.0
263.33085750895583,1176.0
263.59985298360823,1203.0
263.86883880381635,1191.0
264.1378149695541,1191.0
264.40678148079536,1171.0
264.675738337514,1190.0
264.94468553968426,1170.0
265.2136230872796,1209.0
265.48255098027425,1160.0
265.75146921864206,1168.0
266.0203778023569,1127.0
266.28927673139276,1143.0
266.55816600572354,1136.0
266.8270456253231,1176.0
267.09591559016536,1175.0
267.3647759002244,1187.0
267.63362655547394,1163.0
267.90246755588805,1187.0
268.17129890144054,1200.0
268.4401205921055,1176.0
268.7089326278566,1151.0
268.9777350086678,1175.0
269.24652773451334,1130.0
269.5153108053667,1148.0
269.7840842212021,1126.0
270.0528479819934,1162.0
270.32160208771444,1173.0
270.5903465383392,1175.0
270.8590813338416,1168.0
271.12780647419555,1191.0
271.39652195937487,1191.0
271.6652277893537,1195.0
271.9339239641058,1146.0
272.2026104836051,1159.0
272.4712873478256,1151.0
272.73995455674117,1194.0
273.0086121103257,1181.0
273.2772600085531,1182.0
273.54589825139743,1156.0
273.8145268388324,1136.0
274.0831457708321,1140.0
274.3517550473704,1165.0
274.62035466842116,1146.0
274.88894463395843,1178.0
275.157524943956,1162.0
275.4260955983878,1186.0
275.69465659722783,1171.0
275.96320794045,1166.0
276.2317496280281,1156.0
276.50028165993626,1172.0
276.76880403614825,1151.0
277.03731675663806,1179.0
277.30581982137954,1139.0
277.57431323034666,1164.0
277.8427969835133,1185.0
278.11127108085344,1191.0
278.37973552234104,1120.0
278.64819030794985,1171.0
278.9166354376539,1169.0
279.18507091142715,1169.0
279.45349672924345,1150.0
279.7219128910767,1171.0
279.99031939690093,1150.0
280.25871624668997,1163.0
280.5271034404177,1147.0
280.79548097805815,1153.0
281.0638488595852,1165.0
281.33220708497277,1172.0
281.6005556541948,1147.0
281.86889456722514,1149.0
282.13722382403773,1163.0
282.4055434246065,1153.0
282.6738533689055,1151.0
282.9421536569084,1157.0
283.21044428858926,1148.0
283.47872526392206,1177.0
283.7469965828806,1157.0
284.015258245439,1200.0
284.2835102515709,1185.0
284.5517526012503,1173.0
284.81998529445127,1158.0
285.0882083311476,1184.0
285.35642171131326,1165.0
285.6246254349221,1164.0
285.89281950194817,1121.0
286.1610039123653,1132.0
286.42917866614744,1124.0
286.6973437632684,1164.0
286.9654992037023,1133.0
287.23364498742285,1183.0
287.5017811144041,1193.0
287.76990758462,1200.0
288.0380243980444,1162.0
288.3061315546512,1169.0
288.57422905441445,1170.0
288.84231689730785,1160.0
289.11039508330543,1151.0
289.37846361238127,1177.0
289.64652248450903,1163.0
289.91457169966276,1204.0
290.1826112578164,1144.0
290.4506411589439,1157.0
290.718661403019,1144.0
290.98667199001574,1163.0
291.2546729199081,1149.0
291.5226641926699,1168.0
291.79064580827514,1184.0
292.0586177666976,1211.0
292.3265800679113,1167.0
292.5945327118902,1172.0
292.8624756986082,1176.0
293.1304090280392,1205.0
293.39833270015714,1174.0
293.6662467149358,1170.0
293.93415107234927,1163.0
294.2020457723715,1195.0
294.46993081497624,1192.0
294.7378062001375,1168.0
295.00567192782927,1187.0
295.2735279980254,1199.0
295.5413744106997,1156.0
295.8092111658262,1160.0
296.07703826337894,1151.0
296.34485570333163,1199.0
296.6126634856583,1166.0
296.8804616103328,1179.0
297.1482500773291,1167.0
297.41602888662123,1165.0
297.68379803818294,1149.0
297.95155753198816,1157.0
298.21930736801085,1157.0
298.487047546225,1183.0
298.7547780666044,1151.0
299.0224989291231,1155.0
299.29021013375495,1146.0
299.55791168047386,1183.0
299.8256035692538,1156.0
300.09328580006866,1175.0
300.36095837289236,1157.0
300.6286212876987,1165.0
300.8962745444619,1146.0
301.1639181431556,1186.0
301.43155208375384,1160.0
301.6991763662305,1184.0
301.96679099055956,1141.0
302.2343959567149,1162.0
302.5019912646703,1164.0
302.76957691440003,1206.0
303.0371529058777,1171.0
303.3047192390773,1184.0
303.5722759139728,1164.0
303.8398229305381,1179.0
304.10736028874715,1170.0
304.37488798857385,1188.0
304.6424060299921,1176.0
304.9099144129758,1162.0
305.1774131374989,1139.0
305.4449022035354,1173.0
305.712381611059,1171.0
305.9798513600438,1167.0
306.2473114504638,1153.0
306.5147618822927,1198.0
306.7822026555046,1175.0
307.0496337700733,1165.0
307.3170552259727,1166.0
307.5844670231768,1197.0
307.8518691616595,1183.0
308.1192616413948,1161.0
308.38664446235646,1157.0
308.65401762451853,1184.0
308.9213811278549,1137.0
309.1887349723394,1149.0
309.45607915794614,1141.0
309.7234136846488,1161.0
309.9907385524215,1146.0
310.25805376123805,1161.0
310.52535931107235,1172.0
310.79265520189847,1196.0
311.0599414336902,1169.0
311.32721800642145,1189.0
311.5944849200662,1158.0
311.86174217459836,1181.0
312.12898976999185,1177.0
312.3962277062206,1180.0
312.66345598325853,1150.0
312.93067460107955,1181.0
313.19788355965755,1170.0
313.4650828589664,1165.0
313.7322724989802,1151.0
313.99945247967264,1175.0
314.26662280101783,1148.0
314.5337834629897,1169.0
314.800934465562,1166.0
315.0680758087088,1181.0
315.3352074924039,1175.0
315.60232951662135,1194.0
315.869441881335,1164.0
316.13654458651877,1166.0
316.4036376321465,1166.0
316.6707210181923,1202.0
316.93779474462997,1166.0
317.20485881143344,1167.0
317.4719132185766,1180.0
317.73895796603347,1187.0
318.00599305377784,1177.0
318.2730184817837,1158.0
318.5400342500249,1167.0
318.8070403584756,1196.0
319.07403680710945,1129.0
319.3410235959005,1166.0
319.6080007248226,1186.0
319.8749681938497,1198.0
320.14192600295576,1153.0
320.40887415211466,1169.0
320.6758126413003,1178.0
320.9427414704866,1196.0
321.20966063964755,1167.0
321.47657014875705,1186.0
321.743469997789,1169.0
322.0103601867173,1188.0
322.27724071551586,1151.0
322.5441115841586,1182.0
322.81097279261957,1157.0
323.07782434087244,1188.0
323.3446662288914,1150.0
323.6114984566502,1180.0
323.87832102412284,1165.0
324.1451339312832,1171.0
324.4119371781052,1146.0
324.6787307645628,1198.0
324.9455146906298,1161.0
325.2122889562803,1180.0
325.47905356148806,1168.0
325.7458085062271,1185.0
326.0125537904713,1141.0
326.2792894141946,1166.0
326.5460153773709,1128.0
326.8127316799741,1171.0
327.0794383219783,1163.0
327.3461353033571,1190.0
327.6128226240847,1168.0
327.8795002841348,1190.0
328.1461682834814,1169.0
328.4128266220986,1184.0
328.6794752999601,1137.0
328.9461143170399,1153.0
329.2127436733119,1179.0
329.47936336875,1203.0
329.7459734033282,1175.0
330.01257377702035,1180.0
330.27916448980034,1155.0
330.5457455416422,1185.0
330.8123169325198,1157.0
331.078878662407,1173.0
331.3454307312779,1168.0
331.6119731391061,1205.0
331.8785058858659,1139.0
332.14502897153085,1160.0
332.41154239607516,1133.0
332.6780461594726,1173.0
332.94454026169717,1154.0
333.2110247027227,1184.0
333.47749948252317,1167.0
333.74396460107255,1185.0
334.0104200583446,1185.0
334.2768658543135,1175.0
334.54330198895286,1156.0
334.80972846223676,1170.0
335.0761452741392,1146.0
335.342552424634,1155.0
335.608949913695,1146.0
335.8753377412963,1187.0
336.14171590741176,1145.0
336.40808441201517,1176.0
336.67444325508063,1156.0
336.9407924365819,1175.0
337.20713195649313,1175.0
337.4734618147879,1161.0
337.73978201144047,1133.0
338.0060925464246,1155.0
338.27239341971415,1173.0
338.5386846312832,1199.0
338.8049661811055,1146.0
339.0712380691551,1166.0
339.3375002954059,1142.0
339.60375285983173,1193.0
339.86999576240663,1190.0
340.13622900310435,1162.0
340.40245258189907,1159.0
340.6686664987645,1152.0
340.93487075367466,1167.0
341.20106534660334,1179.0
341.4672502775246,1161.0
341.7334255464124,1186.0
341.9995911532405,1182.0
342.2657470979829,1217.0
342.53189338061344,1159.0
342.7980300011063,1184.0
343.0641569594351,1176.0
343.3302742555738,1193.0
343.5963818894965,1144.0
343.862479861177,1170.0
344.12856817058923,1162.0
344.3946468177071,1176.0
344.6607158025046,1133.0
344.9267751249555,1180.0
345.19282478503396,1186.0
